Access Billing Services,,,,,,,,,,,,,,,,,,,,,,,,,
"TA / PETRO PRICING WORKSHEET, For: TRANSPORTATION STAFFING SER Effective Date: 03/02/2015",,,,,,,,,,,,,,,,,,,,,,,,,
* Reflects Deal Change in last 45 Calendar Days,,,,,,,,,,,,,,,,,,,,,,,,,
***RETAIL PRICES ARE SUBJECT TO CHANGE AT ANY TIME***,,,,,,,,,,,,,,,,,,,,,,,,,
Number of deals that changed: 1,,,,,  INDEXED BASE PRICING (IBP) COMPONENTS  ,,,,,,,,,,,,,,,Retail Less @05:37 AM,,,,,
Loc,Loc,,,Third Party,Price-Based Rack,Opis,Product,* Deal Chg,Deal Eff.,,,Fed.,State,Sales,State,Other,Additive,IBP,IBP,Retail,Retail,Retail,Fuel,Savings,Bulk DEF
Type,#,Travel Center,ST,Merchant ID,(City/State),Rack ID,Dispensed,,Date,Index,Freight,Tax,Tax,Tax,UST,Tax,/ CAR Fee,Adjustment,Fuel Price,Price,Factor,Fuel Price,Price,Total,Price
FRAN,675,TA ATLANTA SOUTH              ,GA,GA171     ,"ATLANTA, GA                   ",18,DIESEL ULTRA LOW SULFUR       ,,7/10/2009,2.0733,0.07,0.244,0.213,0,0.0075,0.0968,0,0.04,2.7446,2.899,-0.06,2.839,2.745,,2.899
CORP,6344,PETRO KINGSLAND               ,GA,GA314     ,"JACKSONVILLE, FL              ",75,DIESEL ULTRA LOW SULFUR       ,,2/18/2011,2.1618,0.0425,0.244,0.213,0,0.0075,0.0968,0,0.01,2.7756,2.919,-0.05,2.869,2.776,,2.849
CORP,6249,TA LAKE PARK                  ,GA,GA131     ,"BAINBRIDGE, GA                ",20,DIESEL ULTRA LOW SULFUR       ,,11/27/2012,2.0302,0.0587,0.244,0.213,0,0.0075,0.0968,0,0.01,2.6602,2.919,-0.1,2.819,2.66,,2.849
CORP,676,TA MADISON                    ,GA,GA196     ,"ATHENS, GA                    ",16,DIESEL BIO ULTRA LS 10%       ,,5/5/2011,2.0836,0.0415,0.244,0.213,0,0.0075,0.0968,0,0,2.6864,2.939,-0.07,2.869,2.686,,2.849
CORP,604,TA SAVANNAH                   ,GA,GA222     ,"SAVANNAH, GA                  ",195,DIESEL ULTRA LOW SULFUR       ,,12/19/2012,2.2087,0.0252,0.244,0.213,0,0.0075,0.0968,0,-0.03,2.7652,2.969,-0.05,2.919,2.765,,2.849
CORP,6254,TA BROOKLYN                   ,IA,IA302     ,"IOWA CITY, IA                 ",380,DIESEL BIO ULTRA LS 10%       ,,4/30/2014,2.0518,0.0685,0.244,0.325,0,0.01,0.0019,0,0.01,2.7112,2.799,-0.05,2.749,2.711,,2.849
CORP,528,TA COUNCIL BLUFFS             ,IA,IA264     ,"COUNCIL BLUFFS, IA            ",319,DIESEL ULTRA LOW SULFUR       ,,2/18/2011,2.0572,0.0217,0.244,0.325,0,0.01,0.0019,0,0.01,2.6698,2.919,-0.05,2.869,2.67,,2.849
FRAN,5015,TA WALCOTT                    ,IA,IA081     ,"BETTENDORF, IA                ",270,DIESEL BIO ULTRA LS 5%        ,,5/21/2009,2.0666,0.0275,0.244,0.325,0,0.01,0.0019,0,0.04,2.715,2.939,0,2.939,2.715,,2.799
CORP,5053,TA BOISE                      ,ID,ID002     ,"BOISE, ID                     ",785,DIESEL ULTRA LOW SULFUR       ,,2/18/2011,2.2066,0.0221,0.244,0.25,0,0,0.0119,0,0.01,2.7446,2.999,-0.05,2.949,2.745,,2.869
CORP,322,TA BLOOMINGTON                ,IL,IL017     ,"CHAMPAIGN, IL                 ",280,DIESEL BIO ULTRA LS 11%       ,,5/5/2011,2.0215,0.0239,0.244,0.215,0.1738,0.011,0.0419,0,-0.1,2.6311,2.919,-0.1,2.819,2.631,,2.849
CORP,5001,TA EFFINGHAM                  ,IL,IL045     ,"WOOD RIVER, IL                ",574,DIESEL BIO ULTRA LS 11%       ,,5/5/2011,2.0486,0.039,0.244,0.215,0.1459,0.011,0.0019,0,-0.1,2.6054,2.969,-0.1,2.869,2.605,,2.849
CORP,6321,PETRO EFFINGHAM               ,IL,IL429     ,"WOOD RIVER, IL                ",574,DIESEL BIO ULTRA LS 11%       ,,8/2/2012,2.0486,0.039,0.244,0.215,0.1537,0.011,0.0019,0,0.02,2.7332,2.969,-0.04,2.929,2.733,,2.849
CORP,342,TA ELGIN                      ,IL,IL066     ,"CHICAGO, IL                   ",290,DIESEL BIO ULTRA LS 11%       ,,5/5/2011,2.0217,0.0435,0.244,0.215,0.1583,0.011,0.0419,0,-0.1,2.6354,2.959,-0.1,2.859,2.635,,2.849
CORP,6367,PETRO MONEE                   ,IL,IL153     ,"CHICAGO, IL                   ",290,DIESEL BIO ULTRA LS 11%       ,,7/10/2009,2.0217,0.042,0.244,0.215,0.1896,0.011,0.0119,0,0.04,2.7752,2.959,0,2.959,2.775,,2.849
CORP,6236,TA MORRIS                     ,IL,IL956     ,"CHICAGO, IL                   ",290,DIESEL BIO ULTRA LS 11%       ,,5/5/2011,2.0217,0.0292,0.244,0.215,0.138,0.011,0.0019,0,-0.1,2.5608,2.919,-0.1,2.819,2.561,,2.849
CORP,319,TA MT VERNON                  ,IL,IL359     ,"WOOD RIVER, IL                ",574,DIESEL BIO ULTRA LS 11%       ,,5/5/2011,2.0486,0.0587,0.244,0.215,0.1827,0.011,0.0219,0,-0.1,2.6819,2.969,-0.1,2.869,2.682,,2.849
FRAN,4359,PETRO ROCHELLE - BIO          ,IL,IL942     ,"ROCKFORD, IL                  ",520,DIESEL BIO ULTRA LS 11%       ,,7/10/2009,2.0495,0.0255,0.244,0.215,0.1667,0.011,0.0019,0,0.05,2.7636,2.849,0,2.849,2.764,,
FRAN,6359,PETRO ROCHELLE - ULSD         ,IL,IL462     ,"ROCKFORD, IL                  ",520,DIESEL ULTRA LOW SULFUR       ,,7/10/2009,2.0495,0.0255,0.244,0.215,0.1667,0.011,0.0019,0,0.05,2.7636,3.099,0,3.099,2.764,,
CORP,5012,TA CHICAGO NORTH              ,IL,IL388     ,"MILWAUKEE, WI                 ",444,DIESEL BIO ULTRA LS 11%       ,,5/5/2011,2.0449,0.0479,0.244,0.215,0.1575,0.011,0.0019,0,-0.1,2.6222,3.039,-0.1,2.939,2.622,,2.849
CORP,5199,TA TROY                       ,IL,IL830     ,"WOOD RIVER, IL                ",574,DIESEL BIO ULTRA LS 11%       ,,5/5/2011,2.0486,0.0265,0.244,0.215,0.1529,0.011,0.0019,0,-0.1,2.5999,2.969,-0.1,2.869,2.6,,2.849
CORP,6345,PETRO ANGOLA                  ,IN,IN782     ,"TOLEDO, OH                    ",550,DIESEL ULTRA LOW SULFUR       ,,8/2/2012,2.1251,0.0547,0.244,0.16,0,0,0.0119,0,0.02,2.6157,2.759,-0.04,2.719,2.616,,2.859
CORP,6376,PETRO BRAZIL                  ,IN,IN770     ,"INDIANAPOLIS, IN              ",375,DIESEL ULTRA LOW SULFUR       ,,9/14/2011,2.1426,0.0561,0.244,0.16,0,0,0.0119,0,0.02,2.6346,2.769,-0.04,2.729,2.635,,2.859
